name,description,salary_from,salary_to,salary_currency,experience,employer_name,schedule_label,employment_label,country_name,role_name,skills,hard_skills,soft_skills,mbti
Мастер цеха полиграфического производства,"Обязанности: - Организация работы цеха, управление сменой, контроль работы подчиненных сотрудников - Обеспечение корректной передачи полной информации мастеру другой смены - Контроль качества и соблюдение сроков выпускаемой продукции - Контроль работ по запуску и сдаче тиражей - Контроль технического состояния оборудования, контроль соблюдения графика профилактики оборудования - Решение текущих вопросов Требования: Опыт работы мастером в офсетной типографии от 3х лет Отличное знание технологии офсетной печати Знание послепечатного оборудования Организаторские способности, навыки управления Умение работать с коллективом согласованно и на результат уверенный пользователь ПК Условия: работа в стабильной Компании (работаем более 20ти лет) в коллективе профессионалов график работы сменный трудоустройство, предоставление отпусков согласно ТК РФ место работы: Московская обл., Северная Видновская промзона ( дер.Апаринки) бесплатный корпоративный транспорт от ст.м. Домодедовская до типографии ( 20 мин.) наличие бесплатной парковки",70000,90000,RUR,3-6,Вся полиграфия,Сменный график,Полная занятость,Россия,"Начальник смены, мастер участка","Выполнение производственного технического контроля, Организаторские навыки, Работа в команде, Лидерство и управление персоналом",[Выполнение производственного технического контроля],"[Организаторские навыки, Работа в команде, Лидерство и управление персоналом]",ESTJ
Руководитель продукта (Product owner с навыками продаж) / Product manager,"Обязанности:   Определить стратегии развития проекта в краткосрочной и долгосрочной перспективе;   Участвовать в маркетинговой стратегии и способах/каналов продвижения;   Осуществлять бюджетирование, управление ресурсами, ежемесячную финансовую отчетность по проектам;   Продвигать и продавать продукт на территории РФ;   Обеспечивать выполнение ключевых KPI проекта в рамках согласованной финансовой модели – непосредственная ответственность за прибыльность проекта;   Сотрудничать с клиентами (решение вопросов, связанных с техническими нюансами и опытом использования продуктов, аккаунтов, подключение к сервису, продолжение доступа, совершенствование ПО);   Контроль финансовых вопросов.   Требования:   Опыт работы в аналогичной должности от 2-х лет;   Опыт в управлении и развитии проектов, желательно по специфике систематизации бизнеса, IT;   Построение системы продаж;   Менеджмент, в том числе проектный;   Понимание принципов маркетинга, продаж, продвижения товара;     Личностные качества: высокий интеллект, ориентированность на результат, привлечение во все процессы жизнедеятельности продукта, ответственность за принятые решения, коммуникабельность, навыки публичных выступлений, умение работать с клиентами (в нашем случае владельцы бизнеса, руководители).   Условия:   Возможность профессионального и карьерного развития;   Удобный график работы: 5/2, с 9.00-18.00 или 10.00-19.00 (по выбору);   Официальное трудоустройство  Отпуск по ТК РФ",80000,80000,RUR,1-3,Сервизория,Удаленная работа,Полная занятость,Россия,Другое,"Microsoft Office, Базовые знания ПК, Коммуникативная грамотность, Ответственность и проактивность, Знание основ в области маркетинга, Коммуникативная грамотность, Ответственность и проактивность, Работа в команде, Продвижение продуктов, Разработка маркетинговых стратегий, Поиск и привлечение новых клиентов","[Microsoft Office, Базовые знания ПК, Знание основ в области маркетинга, Продвижение продуктов, Разработка маркетинговых стратегий, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Ответственность и проактивность, Коммуникативная грамотность, Ответственность и проактивность, Работа в команде]",ENTJ
Менеджер отдела продаж,"В рекламно-производственную компанию компанию требуется менеджер на прием и ведение входящих запросов (без поиска клиентов) Обязанности:  Обработка входящих запросов и заявок Поиск поставщиков Ведение и сопровождение сделок Заключение договоров, работа с документами Выполнение плана продаж Предоставление отчета по проделанной работе Выполнение поручений руководителя  Требования: Высшее или средне-специальное образование, знание ПК, желательно знание графических программ, microsoft office, интернет обязательно. Опыт продаж приветствуется. Знание технологий производства рекламы приветствуется.Личные качества: ответственность, исполнительность, коммуникабельность, целеустремленностьУсловия:  Испытательный срок 1 месяц, Оформление по ТК РФ, График работы стандартный Профессиональный и карьерный рост в динамично развивающейся компании, Дружный коллектив, Корпоративное обучение Работа в просторном офисе в центре города",40000,80000,RUR,1-3,РПК Правило Парето,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Коммуникативная грамотность, Коммуникативная грамотность, Базовые знания ПК",[Базовые знания ПК],"[Коммуникативная грамотность, Коммуникативная грамотность]",ESTJ
Менеджер по продажам кредитных продуктов,"Обязанности:  Звонки по горячей и холодной базе; Выявление потребностей клиента; Обработка возражений: Приглашение на встречу в офис Компании; Консультирование клиентов по всем направлениям услуг Компании; Заключение договора и контроль всех этапов сделки; Оказание услуг по договору: Качественная обработка входящих заявок с сайтов и различных мессенджеров; Проверка кредитной истории и анализ ситуации клиента; Выполнение поставленного плана; Ведение базы потенциальных клиентов в crm, составление отчетности.  Требования:  Умение отрабатывать возражения; Знание этапов и техник продаж; Опыт работы в банках, МФО, финансовых структурах (будет преимуществом); Образование не ниже среднего специального; Желание зарабатывать; Грамотная устная и письменная речь.  Условия:  Оклад фиксированный 35 000 руб. + комиссионные от 10 до 55 процентов от суммы комиссии, средняя з/п составляет 110 000 -150 000 рублей в месяц. Премии по итогу выполнения плана. Оплачиваемая мобильная связь. Карьерный рост. График 5/2 с 11:00 до 19:00 либо 2/2; Офис находится в двух минутах от метро Арбатская; Работа в молодом и дружном коллективе; Корпоративное обучение.",110000,150000,RUR,1-3,Front-Line,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Клиентоориентированность, Консультирование и ведение клиентов, Консультирование и ведение клиентов, Работа в команде, Коммуникативная грамотность","[Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов]","[Базовая инструментальная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Клиентоориентированность, Консультирование и ведение клиентов, Консультирование и ведение клиентов, Работа в команде, Коммуникативная грамотность]",ESTJ
старший специалист,"инсталляция и настройка системного программного обеспечения; осуществление конфигурации программного обеспечения на серверах и рабочих станциях; регистрация пользователей локальной сети и почтового сервера, назначение идентификаторов и паролей; создание и поддержание в актуальном состоянии пользовательских учетных записей; установка прав доступа и контроль за использованием сетевых ресурсов; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp; организация сопровождения договоров со сторонними организациями, предоставляющими услуги по коммуникационному, программному и аппаратному оснащению\nвладение программами, коммуникабельность, дисциплинированность, ответственность\nвыполнение необходимых процедур по защите информации от несанкционированного доступа, умышленного искажения и повреждения;&nbsp; &nbsp;&nbsp;\n",26000,35000,RUR,0,Департамент по недропользованию,Полный день,Полная занятость,Россия,Системный администратор,"Базовые знания ПК, Техническая поддержка пользователей, Ответственность и проактивность","[Базовые знания ПК, Техническая поддержка пользователей]",[Ответственность и проактивность],ESTJ
Мерчендайзер визитный (Дедовск),"Вакансия визитного мерчендайзера Территория для работы: Дедовск и одна точка в Снегирях. В один день посещаются магазины, которые расположены рядом. Мы предлагаем:  Официальное трудоустройство с первого дня работы Своевременную и стабильную зарплату 13 зарплат в год Возможность выйти на стажировку уже на следующий день Продукция - корма для животных  Обязанности:  Выкладка продукции Контроль ценников, сроков годности Заполнение отчетов (электронная отчетность и фотоотчет)  Требования:  Рассматриваем кандидатов без опыта работы, готовы обучать Наличие мед.книжки, либо готовность ее сделать Телефон Android, для заполнения отчетности Умение работать с программами на смартфоне или планшете  Условия:  Оформление по ТК РФ Выплаты зарплаты каждые 2 недели Оплата отпускных и больничных График работы 5/2, 7 тт в день Выходные: суббота и воскресенье  Заинтересовались? Звоните!",38500,41000,RUR,0,Action,Полный день,Полная занятость,Россия,Мерчандайзер,"Маркировка и контроль сроков годности продукции, Мерчандайзинг, Организация и контроль промо-акций, Работа в команде","[Маркировка и контроль сроков годности продукции, Мерчандайзинг, Организация и контроль промо-акций]",[Работа в команде],ESTJ
Помощник менеджера по продажам рекламных продуктов,"Обязанности:   Работа с имеющимися клиентами по широкоформатной печати Прием, подготовка заказов и оформление заявок в печать, контроль доставок Подготовка коммерческих предложений под запросы клиентов; Контроль качества и сроков изготовления рекламы для клиентов; Работа в CRM, 1С   выставление ТКП, счетов на оплату, отслеживание поступление продукции на склад  ведение рабочей и отчетной документации отслеживание дебиторской и кредиторской задолженности  Требования:  обучаемость, умение и желание работать уверенный пользователь ПК (желательно знание 1С) умение работать в команде грамотная речь энергичность коммуникабельность умение работать с большим объемом информации нацеленность на результат  Условия  полный рабочий день на территории работодателя график пн.-пт. с 9.00 до 18.00 трудоустройство по ТК РФ своевременная оплата труда (оклад )  дружный коллектив; Офис в центре города; Бесплатная парковка.",30000,60000,RUR,0,Альфа Принт,Полный день,Полная занятость,Россия,Координатор отдела продаж,"Базовая инструментальная грамотность, Коммуникативная грамотность, Оформление и сборка заказов, Работа с оргтехникой","[Оформление и сборка заказов, Работа с оргтехникой]","[Базовая инструментальная грамотность, Коммуникативная грамотность]",ESFJ
Дизайнер полиграфии и сувенирной продукции,"Фрилансер не нужен. Работа в офисе с заказчиками. Обязанности: - Знание CorelDRAW, Adobe Photoshop, Adobe illustrator, Adobe InDesign - Подготовка макетов к печати- Опыт работы.- Наличие портфолио - обязательно.   Требования: - Опыт работы по профилю от 1 года Условия: - Постоянная работа, полный день в офисе,  работа на территории работодателя г. Воронеж, ул. Ворошилова, д. 50 - Оформление, отпуск, больничный и пр. по ТК",30000,35000,RUR,1-3,"Цеппелин, РА",Полный день,Полная занятость,Россия,Гейм-дизайнер,"Adobe Illustrator, Adobe InDesign, Adobe Photoshop, CorelDRAW, Ответственность и проактивность, Базовые знания ПК, Внимательность, Обучаемость и адаптивность, Многозадачность","[Adobe Illustrator, Adobe InDesign, Adobe Photoshop, CorelDRAW, Базовые знания ПК]","[Ответственность и проактивность, Внимательность, Обучаемость и адаптивность]",ESFJ
Графический дизайнер/дизайнер производства,"Обязанности:   Разработка эскизов наружной рекламы (вывески, банеры,таблички, стенды и пр) в том числе при работе с клиентами, подготовка файлов в печать и на полотерную резку, запуск объектов в производство Осуществление плоттерной резки (работа на плоттере) Подготовка тех задания (фрезеровку, гибку, сварку и пр.)  Требования:  Знание производства наружной рекламы Corel Dr. Adobe Photoshop Навыки чертежной работы приветствуются Гибкость, усидчивость, опыт работы, коммуникабельность  Условия:  5/2 полный рабочий день",15000,20000,RUR,1-3,Рекламное агентство Квартал,Полный день,Полная занятость,Россия,"Дизайнер, художник","Adobe Photoshop, CorelDRAW, Графический дизайн, Графический дизайн, Креативное мышление","[Adobe Photoshop, CorelDRAW, Графический дизайн, Графический дизайн]",[Креативное мышление],ESTP
Производственный работник / разнорабочий,"Обязанности:  выполнение поручений заместителя директора; возможен быстрый карьерный рост; По всем видам работ проводим инструктаж-обучение проводит инженер компании. С повышением вашего опыта и качества работы будет расти ваша оплата труда.  Требования:  Ответственность. Пунктуальность. Честность. Аккуратность. Внимательность. Исполнительность.  Условия:  Вакансия открыта в М.О., город Красногорск; стабильная заработная плата; трудоустройство по ТК РФ; график работы с 10.00 до 19.00, сб.вс-выходные; сплоченный коллектив; з/п обсуждается на собеседовании;  Наша компания - дружный коллектив профессионалов.Присоединяйтесь к нашей команде!",40000,50000,RUR,0,Лаборатория Глобал Принт,Полный день,Полная занятость,Россия,Разнорабочий,"Базовые знания ПК, Работа в команде",[Базовые знания ПК],[Работа в команде],ESTJ
Оператор call-центра / Менеджер по продажам (B2B),"Рекламное агентство PR-PLANER приглашает на работу МЕНЕДЖЕРА ПО ПРОДАЖАМ. PR-PLANER это современное рекламное агентство, основной специализацией которого является построение, настройка и запуск рекламных кампаний, наружная реклама в городе, digital продвижение, создание сайтов, а также автоматизация продаж. Мы ценим каждого человека в нашем коллективе и ищем единомышленников!   Наши ожидания:  Хорошие коммуникативные навыки, грамотная устная и письменная речь, навыки деловой переписки Самоорганизация и ответственность в выполнении задач Клиентоориентированность Нацеленность на результат    Чем нужно будет заниматься:  Звонки по клиентам/базе (B2B) Проведение переговоров, выявление потребностей клиентов и продажа услуг компании Расчеты размещений/подготовка и отправка коммерческих предложений Согласование/заключение договоров с клиентами Выставление счетов, контроль сроков оплаты и предоставления услуг Ведение установленной отчетности в CRM-системе Выполнение установленного плана по продажам    Условия:  Оклад + % от продаж График работы 5/2 пн-пт, 10:00-18:00 Легкость коммуникации-доверительная атмосфера в коллективе Новое взаимодействие-расширение круга профессиональных знакомств",40000,120000,RUR,1-3,PR-PLANER,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Продажи, Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Клиентоориентированность, Подготовка коммерческих предложений, Коммуникативная грамотность","[Продажи, Работа в CMS-системах, Поиск и привлечение новых клиентов, Поиск и привлечение новых клиентов, Подготовка коммерческих предложений]","[Коммуникативная грамотность, Базовая инструментальная грамотность, Коммуникативная грамотность, Коммуникативная грамотность, Клиентоориентированность, Коммуникативная грамотность]",ESTP
Курьер-водитель,"Приглашаем водителя-курьера в ЛЕНТУ ИЛИ СБЕРМАРКЕТ Вам необходимо будет осуществлять: - Доставку собранных заказов от магазина, до двери клиента. Требования:  Наличие автомобиля (любого) и права категории B Наличие смартфона на базе Android Наличие готовой медицинской книжки или справки об ее изготовлении готовы рассмотреть без опыта  Условия:  Вознаграждение до 80000 тыс. рублей В среднем – до 3600 р/день График выбирается индивидуально Доставку осуществляете в удобном для вас районе (можно рядом с домом) Оформление в качестве Самозанятого, налоги полностью компенсируются  Наша вакансия также подойдет вам, если вы искали: на личном авто, подработка, работа выходного дня, свободный график, гибкий график, доставщик, доставка, доставка документов посылок, работа в районе, работа рядом с домом, без опыта, начинающий специалист, работа на выходные, в вечернее время, яндекс доставка, самокат, яндекс еда, яндекс лавка, яндекс про, яндекс маркет, сбермаркет, магнит, пятёрочка, перекресток, дикси, лента, ашан, глобус, окей, детский мир, спортмастер, летуаль, леруа мерлен, деливери клаб, delivery club, dostavista, достависта, dodo, додо, сдэк.Количество мест ограничено. Поторопитесь. Вакансия скоро закроется.",50000,67000,RUR,0,Агентство мерчандайзинга АСМ,Полный день,Полная занятость,Россия,Курьер,"Управление грузовым автомобилем, Управление легковым автомобилями и небольшими грузовиками, Информационная грамотность, Работа в команде","[Управление грузовым автомобилем, Управление легковым автомобилями и небольшими грузовиками]","[Информационная грамотность, Работа в команде]",ESTJ
"Менеджер по продажам, г.Москва","Компания «Комплексэйр» разрабатывает инновационные и индивидуальные решения для производства азота, кислорода, водорода, воздуха и сжатых газов на площадке Заказчика, а также установки, предназначенные для самых разных отраслей промышленности. В связи с расширением штата отдела продаж в г.Москва приглашает в свою команду менеджера по продажам! Мы предлагаем:  Официальное трудоустройство после испытательного срока (длительность обсуждается индивидуально). Работу в комфортном офисе м. Октябрьское поле.   График 5/2 с 10.00 до 18.00 Заработную плату состоящую из оклада 80 000руб, KPI и % от продаж (совокупный доход до 120 000 в месяц, лучшие сотрудники до 150 000 рублей в месяц!) Квартальные и годовые премии; Оплату мобильной связи; Обучение, курсы, тренинги, выставки оплачиваемые компанией; Страхование от несчастных случаев; Ввод в должность и адаптация; Что нужно будет делать: B2B, B2G, продажи; Привлечение новых клиентов, база предоставляется компанией + самостоятельный поиск. Формирование базы проектировщиков, заказчиков, подрядчиков; Подбор решения под запрос (потребность) клиента; Подготовка и проведение презентации товаров и оказываемых услуг – очно на встречах в нашем офисе и по телефону; Подготовка коммерческих предложений; Ведение клиентов по воронке продаж; Согласование и подписание контрактов, выставление счетов, контроль оплаты. Обработка входящего потока запросов с сайта/по телефону; Расширение пула объектов;  Что мы ждем от сотрудника:  Опыт B2B продаж - обязателен, B2G продаж - желателен, в том числе технически сложных продуктов; Опыт продаж в сфере медицинской техники будет вашим несомненным преимуществом;  Знание ПК - Владение ПК на уровне уверенного пользователя: знание пакета офисных программ, (Windows, MS Office (word, excel, outlook) опыт работы в CRM-системах (AmoСRM желательно).   Грамотная речь и письмо (без ошибок!);·   Основы делового этикета;   Презентабельный внешний вид;   Пунктуальность; ответственность.   Если вы почувствовали, что вам интересно наше предложение, смело откликайтесь на вакансию и становитесь частью нашей команды!  Вы - именно тот, кто нам нужен!",80000,120000,RUR,1-3,Райков Евгений Игоревич,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Продажи, Работа в CMS-системах, Управление продажами, Коммуникативная грамотность, Консультирование и ведение клиентов, Публичные выступления и проведение презентаций, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов, Коммуникативная грамотность, Коммуникативная грамотность","[Продажи, Работа в CMS-системах, Управление продажами, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Консультирование и ведение клиентов, Публичные выступления и проведение презентаций, Коммуникативная грамотность, Коммуникативная грамотность]",ESTP
Менеджер по работе с клиентами в типографию (никаких холодных звонков),"Уважаемые соискатели, убедительная просьба - ознакомиться с вакансией внимательно.   Обязанности:  консультирование клиентов расчёт заказов решение технологических вопросов ведение заказа от приёмки до отгрузки  Требования:  Обязательно знание технологии полиграфического производства ответственность исполнительность многозадачность  Условия:  Работа в районе м. Московская. Отпуск, поболеть, уйти пораньше, прийти попозже. Заработная плата после исп срока: окл+% или по договоренности. Работа с 10.00-18.30",50000,85000,RUR,1-3,Печатный Элемент,Полный день,Полная занятость,Россия,"Швея, портной, закройщик","Базовая инструментальная грамотность, Консультирование и ведение клиентов, Многозадачность, Базовые знания ПК",[Базовые знания ПК],"[Базовая инструментальная грамотность, Консультирование и ведение клиентов]",ISTJ
Менеджер по продажам в Digital Агентство (New Business Manager Digital),"Big Media — маркетинговое агентство формата 370°. На 360° мы работаем с рекламными инструментами. Еще про 10° узнаешь на собеседовании. Сейчас мы расширяем команду продаж и нам нужен эффективный менеджер, который достигает самых высоких целей. Мы ищем харизматичного и убедительного человека, после которого представителей других компаний не захотят даже слушать. Что нам важно от нашего кандидата: 1. результативность, самостоятельность, уверенность в себе;2. опыт работы сейлзом в креативном, digital или production агентстве подтвержденный продажами с высоким чеком; 3. понимание digital инструментов (SMM, production, influence, PR, media); 4. умение круто презентовать и выстраивать доверительную коммуникацию.   Зачем тебе это все? Это маркетинг в большом городе. Мы работаем с гигантами отрасли, и ты можешь делать это с нами. Мы ценим твои обязанности, не нарушаем зоны ответственности и щедро оплачиваем труд. У нас понятная и прозрачная система мотивации: оклад + бонусы. У тебя будет гибкий график и стильное место в центре столицы.   У нас та самая команда, про которую говорят «команда мечты». И нам нужен еще один такой же крутой игрок.   go big or go home.",150000,400000,RUR,3-6,Big Media,Полный день,Полная занятость,Россия,"Менеджер по продажам, менеджер по работе с клиентами","Коммуникативная грамотность, Базовая инструментальная грамотность, Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов","[Навыки поиска и привлечения новых клиентов, Поиск и привлечение новых клиентов]","[Коммуникативная грамотность, Базовая инструментальная грамотность]",ENTP
Менеджер по работе с клиентами,"Traffic Jinn - это одна из самых сильных арбитражных команд, которая развивается в сфере интернет-продаж и монетизации трафика. На сегодняшний день, интернет-реклама - это двигатель любого бизнеса. Поэтому, наша команда сосредоточилась на этом направлении, начав свой путь 2 года назад. Мы реализуемся в масштабных проектах, работая на эксклюзивных условиях с международными партнерскими программами и прямыми рекламодателями в вертикалях Gambling, Betting и Trading. Наша миссия - приумножать прибыль наших партнеров по всему миру, построив идеальную бизнес-модель. Подбирать в команду талантливых, идейных, харизматичных людей, чувствующих в себе страсть к свободе и творчеству. Создавать максимально комфортную экосистему для раскрытия творческого потенциала людей! Мы - амбициозная и честная команда, которая слышит друг друга и знает, что движущая сила компании - ее люди. Сейчас мы ищем специалистов, на позицию &quot;Sales manager&quot;. Обязанности: Установление отношений и коммуникация с новыми клиентами; Обработка входящих лидов в Telegram; Выполнение поставленного плана, закрытия лидов; Ведение отчетности о проделанной работе; Взаимодействие с другими отделами по смежным вопросам. Наши ожидания: Опыт успешной работы в сфере продаж, коммуникации с клиентами от 1 года; Грамотная устная и письменная речь; Знание казахского и русского языков; Желание увеличивать digital-экспертизу; Инициативность, техническая грамотность, внимательность; Креативность, творческий подход к решению задач; Ориентированность на результат и личное развитие. Мы предлагаем: Комфортабельный офис класса А в центре города; Достойная заработная плата; Обеспечение всеми расходными материалами, неограниченным бюджетом и сервисами; Возможность профессионального и финансового роста; Дружная и креативная команда; Периодические корпоративные мероприятия, тимбилдинги.",200000,600000,KZT,1-3,Нүсіпбек,Гибкий график,Полная занятость,Казахстан,"Менеджер по продажам, менеджер по работе с клиентами","Знание английского языка, Базовая инструментальная грамотность, Коммуникативная грамотность, Креативное мышление, Целеустремленность и работоспособность",[Знание английского языка],"[Базовая инструментальная грамотность, Коммуникативная грамотность, Креативное мышление, Целеустремленность и работоспособность]",ENFP
Графический дизайнер удаленно (подработка),"В рекламное агентство Lift Media (реклама в лифтах) требуется графический дизайнер (креативщик) на подработку удаленно. Работаем с 2009 года. Заказы есть постоянно. Не нужно общаться с клиентами. Работа в свободном графике. Оплата сдельная (стоимость разработки макетов в пределах рыночной, обговаривается на собеседовании). ВАЖНО! ТОЛЬКО ГРАЖДАНЕ РФ.  Обязанности:  Разработка и корректировка рекламных макетов для рекламы в лифтах, подготовка в печать. Генерация идей и разработка дизайна креативов, создание оригинальных дизайн-концепций по готовому техническому заданию.  Требования:  Опыт работы от 2 лет в дизайн студии или рекламном агентстве, грамотная речь, знания графических программ (Corel, Illustrator, Photoshop), гибкость мышления, креативный склад ума, умение работать в команде, готовность работать в сжатые сроки. Наличие портфолио и опыт обязательно.  Условия:  Официальное оформление по самозанятости, достойная оплата , работа 5/2, выгодная система мотивации, свободный график работы. Обязательно прохождение неоплачиваемого тестового задания.",20000,30000,RUR,1-3,LiftMedia,Удаленная работа,Частичная занятость,Россия,"Дизайнер, художник","Adobe Illustrator, Adobe Photoshop, CorelDRAW, CorelDRAW, Базовая инструментальная грамотность, Графический дизайн, Графический дизайн, Креативное мышление, Позитивное мышление, Графический дизайн","[Adobe Illustrator, Adobe Photoshop, CorelDRAW, CorelDRAW, Графический дизайн, Графический дизайн, Графический дизайн]","[Базовая инструментальная грамотность, Креативное мышление, Позитивное мышление]",INTJ
